,Doc Text,Sentiment
0,kirkpatrick wear baseball cap embroider obama obama signature hangdog look jason segel courier journal,Neutral
2,obama debate cracker as cracker tonight tune teamobama,Positive
4,miss point afraid understand big picture dont care obama elect,Neutral
6,raise democrat leave party year ago lifetime never see president divide country like obama,Negative
7,obama camp can not afford low expectation tonight debate president must give strong performance,Neutral
9,obama pot policy disappoint say least legaizeit via,Negative
10,hollywood back gene simmons yank obama support call piss poor president,Negative
13,obama expedient speak fair order slenderize biscuit taiwan tension gjn,Neutral
14,dream smoking obama,Neutral
15,washington time president popularity bubble burst barack obama fox nation obama ofa tcot,Negative
16,obama priority k gaydar research security embassy libya tlot tcot p,Negative
17,united state islam obama really think weirdoooooo,Negative
18,create debt plame obama hand money billionaire two war u brake u own,Negative
19,obama keep one promise town hall debate believe tonight,Negative
21,sub talk shit obama,Neutral
22,obama ist tot,Neutral
23,go idea hurt obama america elect blk pres show whole hand dumbass,Neutral
25,still idol mr president obama,Positive
26,pretty creepy wonder obama always starbursts pocket equally realistic theory,Neutral
27,saw truck nasa sticker obama sticker new bff,Neutral
28,debate tonight hope obama brings lot energy tonight debate crucial obama,Neutral
29,say much good thing obama small business owner pick,Positive
31,hillary take spaken obama ignorance attaboy obama blind people ur back good u spineless,Negative
32,south african say obama best thing happen america,Positive
33,smart woman know obama say policy would cause energy price skyrocket meant tcot sgp,Negative
34,tonight obama focus forceful leave voter wonder know first debate,Neutral
35,obama may need ground game backer follow elex closely compare,Neutral
36,remember obama first get elect niggas act like second come jesus,Neutral
37,obama work next,Neutral
38,pretty much obama lose tonight expect madness meltdown breach containment,Neutral
39,obama win wan na move new york,Neutral
40,want hear obama say nigga please yeees,Neutral
41,barack obama quietly give control communication system america notobama obamavsamerica,Negative
42,last kid vote johnson would bk obama make sense oh god could scream,Neutral
43,thanksgiving obama turkey google omg thats wrong,Neutral
44,okay obama time put game face get shit do,Positive
45,actually begin feel sorry obama never mind pass like smelly gas,Negative
46,agree cant afford year obama,Negative
47,feel thee next indie pres use time next term obm fuck wt obama ent world step,Neutral
51,anyone see obama oh hide behind hillary epicfail hillary never see fantasy potus weak,Negative
52,cdn news muppets denounce democrat call obama puppet ahead democrat organize conservative tcot,Negative
53,new w intelligence syrian rebel number win obama either debka obamassad,Negative
54,gov gary johnson pull vote waste vote obama must go,Negative
57,bob beckel obama create mil job mil people without job january kidding bob,Neutral
58,obama sustain effort claim responsible anything belong letter resignation election campaign,Negative
59,reporter aware michelle vote yesterday obama thank goodness,Neutral
60,obama debate around corner gaf security crazy,Neutral
62,obama remind kid one ego,Negative
63,obama walk short debate prep session morning adviser anita dunn david plouffe tell reporter feel fabulous,Neutral
64,look like obama may need two good debate assure victory,Neutral
65,ya go romney lover whats crazy idea evil towards woman fuck stand right,Neutral
66,liberal depress obama debate tough bcuz u lock urself garage run prius nothing happen b maher,Neutral
67,vote obama positive,Positive
68,obama make eye contact debatepredictions,Neutral
69,obama win gon na lotta sin lack money root evil inspire insta,Neutral
70,townhallquestions mr obama someone else help brother kenya many others yur job,Negative
71,join support support president obama agenda via,Positive
72,president obama need understand win second term n white house u can not b nice republican anymore,Neutral
