,Doc Text,Sentiment
7011,yes obama,Positive
6977,allow contraceptive say,Neutral
632,obama take day study next debate know anything incompetant president need mitt,Negative
29,say much good thing obama small business owner pick,Positive
5343,debate romney via,Positive
3402,romney romney might win erection scar foxnews,Negative
5432,sorry romney look like shorty get rocked bus ko,Negative
3385,win obama romney click follow link description,Neutral
5423,gov romney assault weapon ban obama,Negative
5551,haha yes obama close obama,Positive
2413,romney give hell speech lebanon ohio really hit stride romney ryan,Positive
6607,romney propose get chinese company crack profit exactly want start war,Negative
188,surprise surprise romney new tax plan job add romneyryan fail,Negative
2256,emergency blood transfusion fully cover health appointment want convince vote obama obama,Negative
6423,economist,Neutral
5584,romney mormon view god promise,Neutral
5871,democrat can not wait vote mitt need word obama year failure fire,Negative
3159,obama totally debate today doubt,Positive
1150,poll say obama lead wonder really poll,Positive
2935,hillary need obama cover would,Negative
6466,omg inspired romney ad,Negative
3965,lena dunham applaud obama gay right health care tweet last week support president obama,Positive
4908,one thing romney romney right gay marriage,Neutral
3893,stain blue dress obama wear begging bill clinton let hillary take blame benghazi,Negative
5205,romney romney fraud look,Negative
6791,please tell obama side cut,Positive
669,romney expect us believe shall create mil new job make sensata job offshored china,Negative
3927,buzzfeed obama town hall debate promise,Neutral
609,india romney close gap ohio poll number crowd rise,Positive
3533,romney win really think riot,Negative
2550,election riot come obama loses,Neutral
1318,difference think establish obama white less powerful one want,Negative
4544,really understand woman people military anyone else human decency support romney romney obama biden,Positive
547,mitt say shall create job trickle govt think understands work bcuz plan,Negative
5546,obama kill,Positive
4789,hope romney win seem like everyone hate support obama,Positive
147,voted president obama last time around disappointed job piss poor president thanks,Negative
2649,black faith leader launch campaign obama pro gay marriage,Neutral
5592,obama beast,Positive
4918,obama turn national security political issue,Neutral
5227,people get obama abt fix enough problms tht bush create gnna take long thn yr fix wat tht idiot vote obama,Positive
1364,obama last name obama first,Neutral
683,obama pas budget year even dems vote,Negative
249,mitt romney lie dad walkout via,Negative
211,romney win longer wear nice clothes drive nissan downgrade kia wear colombia wrangler jean idc idc,Negative
1369,nato closer look mitt romney speech confuse candidate try paint leader via,Negative
7016,romney say binder full woman talk chain waronwomen debate obama,Negative
3742,mitt presidential really amp barry,Positive
5223,back debate romney want balance budget recession make bad election,Negative
33,smart woman know obama say policy would cause energy price skyrocket meant tcot sgp,Negative
1267,actress call romney abortion new ad gop latism dnc tcot p,Negative
4463,bram stoker alive even dracula could protect romney smell romney would eat alive,Negative
4744,best romney slogan pay attention man behind marc leder silk curtain,Neutral
1822,na seriously romney win thing get good bro believe bos can not get bad,Positive
4589,apparently someone donate obama use name email sure everything totally legit,Neutral
