,Doc Text,Sentiment
0,insidious mitt romney bain help philip morris get u high schoolers hook cigarette via,Negative
2,mean like romney cheat primary,Negative
3,mitt romney still believe black president,Negative
4,romney tax plan deserve nd look secret one different one lying,Negative
5,hope romney debate prepped people last time,Positive
6,want know mitt romney go able cut trillon dollar go explain everything,Negative
7,romney win presidential election world really end year,Negative
10,romney million job scam reminds rip torn selling penny movie sick puppy,Negative
12,mitt romney say catch osama bin laden would insignificant worth move heaven earth,Negative
13,please romney romney honey boo boo endorse president video,Neutral
15,romney disappoint state allow sex marriage,Negative
16,woman poll show truly vote romney want know truly take care household,Neutral
17,come trillion tax plan let mitt romney give u runaround detail matter,Negative
20,mt reminder romney romney change position refuse admit position,Negative
21,people know romney liar hide tax make false accusation agnst woman right yet buy cant bleive makesnosense,Negative
23,good luck tonight already vote nothing obama say could change mind see do action speak,Positive
24,mitt romney seriously thick listen minute fear world,Negative
25,debate tonight go pointless know romney win debate,Positive
26,democrat launch ingenious new site attack romney tax plan brilliant p tlot tcot,Negative
28,mitt romney always worship father must hurt least little,Neutral
29,hope debate go well romney tonight first time around hair like could,Positive
30,fuck mitt romney rick ross voice,Negative
31,romney kiss as,Negative
33,yet another ceo ask employee vote romney yet another ceo ask employee vote romney sake th,Negative
35,radio ad mitt romney completely wrong via,Negative
38,woman vote romney either penis iq close mind hell responsestomonicacrowley,Negative
39,good one dnc importantly romney think snatch domain,Negative
42,yankee send arod debate romney start barack obama rd base hey like either get bad,Neutral
45,obama come fight mitt simply take advantage obvious pressure president,Positive
46,romney clueless evil,Negative
48,romney could make second fortune teach people lie effortlessly,Negative
50,shocker romney job plan reveal flim flam p p b democrat hofstra,Negative
52,poll show romney ahead never see,Negative
53,boom former romney senior aide say romney say anything close deal,Negative
54,fox news really struggle defend romney ryan oh chick really say national tv,Negative
55,oh yeah romney pray baby jesus assault obama ak tonight god bless,Neutral
56,u tell candidate support romney hope,Positive
57,romney pick steam black vote atleastitsnot,Negative
58,patton oswalt give romney debate tip conan video,Neutral
59,ann might try mirror ann romney blame medium negative ad husband image stopit thisishard romneyshambles,Negative
60,dear misinform public romney propose minor tax cut major cut government spending romneyryan,Negative
61,mitt romney job plan math bogus tax plan math,Negative
62,report mitt romney sponsor shit negative facebook,Negative
63,snoop doggs reason vote romney muthafuckas name mitt he morman aint get hoe,Negative
65,george bush say mitt romney great president people really respect opinion,Neutral
67,romney may townhalls never get ask question hear answer kingofcrazytown,Negative
68,business insider please explain bill clinton wrong romney ryan fraud,Negative
71,poll romney open large lead rural swing county,Positive
72,fantastic letter tony dungy write president obama mitt romney importance fatherhood country,Neutral
73,fun fact mitt romney would become first man elect president tell half country fuck andy borowitz,Negative
77,politician idea anyone believe anything romney say,Negative
78,politics get deserve woman vote get romney think vote shut,Negative
79,say liar gov romney approve ad say oh ad say murderer barackobama politedebate,Negative
80,romney attack father longtime aide p election,Negative
81,suspect mainstream medium buy big billionaire skewer poll fix report romney rise fast,Negative
82,exactly frum urge romney show empathy audience one thing shall struggle,Negative
83,mitt romney,Neutral
85,move paris romney win,Negative
86,mitt romney job plan math bogus tax plan math washington post fact checker glenn kessler take,Negative
88,mitt romney plan middle class tax cut would provide zero benefit percent middle class,Negative
91,thingstoremember romney submit relevant tax record whereareyourtaxrecords mitt,Negative
92,mitt rommney aint pay tax,Negative
93,speculate secret romney tax plan commit promise cut,Negative
96,impressive web experience romney trillion tax plan detail matter,Negative
98,maintain grace let persona come respectfully challenge romney fact specific,Neutral
101,miss romney tax plan reality fortune blog fortune blog miss romney tax plan realityf,Negative
102,lt nothing romney feel like pay attention try truly cater user,Neutral
105,mitt romney pay tax,Negative
106,mitt romney million job math reject fact checker,Negative
107,woman gop mitt romney support right get equal wage equal work amp economy also retirement romney,Negative
108,like really love romney,Positive
110,itspartytimechumps mitt romney,Neutral
111,romney must feel debate day like sat pray make math problem ace verbal,Negative
112,romney win gonn pop kid like crazy,Negative
113,feel bad bush pig fly romney win bush celebrate gop robme expect get award,Negative
114,mitt people die lack health insurance mitt talk healthcare professional gop toady learn,Negative
115,snbc romney strong debater romney strong liar,Negative
116,wow woman vote romney fuck idiot like jew voting hitler,Negative
117,romney become president catch living mexico fuck,Negative
118,fun fact mitt romney would become first man elect president tell half country fuck debate,Negative
120,people r stupid enough vote romney believe bullshit spews trouble america big trouble debate,Negative
121,black republican believe mitt romney make racist,Neutral
123,romney endorse ryan plan would put pressure american senior way never see,Negative
125,romney tell control super pac slush fund lie people mormon,Negative
126,mitt stand nothing make rich richer put stress dis advantage work claas amp poor simple,Negative
127,know thank god willing take challenge get america back greatness romney romney america,Positive
128,romney become president well start read term condition might sign agree slavery,Negative
129,reagan budget director mitt romney businessman,Negative
130,hard time believe poll number racist like romney ahead,Negative
131,america seriously vote romney deserve everything follow rest world,Negative
132,mitt romney fix mess know step necessary toe plug hole stop bleed get pic make happen,Positive
133,theweek would ask romney stop lie tell truth debate,Negative
134,city thank god never anything roman romney one world order jesustweeters tcot tworship,Negative
135,romney become president go start reading term condition might fuck around agree slavery,Negative
137,ina lmfao try talk romney,Neutral
138,mitt romney suck dick republican oh,Negative
139,mitt romney elect much life long republican voter want admit trust like sorry romney,Negative
140,romney say go take back america america south america central america north america election,Negative
142,dmorrissey also significant consider romney still million bank week leave,Neutral
144,people care vietnam vet never ever vote mitt romney,Negative
146,romney definitely try another trick tonight probably bring flower woman questioner,Negative
149,everybody office vote romney quit huh yea,Negative
151,even shake romney hand say nah dude nah shake head disgust rotfl,Negative
152,romney office would war right iraq afghanistan lybia benghazi iran even make sense,Negative
155,feel sick stomach ponder happen romney elect base supporter backwards,Negative
156,dont fool part middle class u pay romney presidency new tax fee deduction affect u,Negative
157,essentially romney try buy presidency,Negative
159,mitt romney campaign bust buy hundred thousand facebook like twitter follower via,Negative
160,mitt romney footlong serve side bullshit,Negative
162,fuck mitt romney,Negative
164,romney buster douglas,Neutral
165,say figure lie liers figure sound like romney amp rynn program yep simple,Negative
167,change mind hope romney win,Positive
170,romney fuck want sesame street go live hood one em even live trashcan living rough ijs,Negative
171,romney plan add deserve second look headline laughable sign time,Negative
173,romney really want win post debate analysis come good pay focus group,Neutral
175,romney racist easy latino actually,Negative
177,mitt romney new job math add see,Negative
179,romney secret plan create job true instead loose job tax cut wealthy,Negative
181,guess romney tonight pre emptively call obama liar like last time order cloud truth debate,Negative
182,doc channel cringe romney speak repugnant criminal candidate clothing,Negative
183,romney idiot,Negative
184,mitt romney million job math reject fact checker,Negative
185,romney thank low pay life line coal mine make sure healthcare,Negative
186,woman want vote romney understand,Negative
188,surprise surprise romney new tax plan job add romneyryan fail,Negative
189,romney tax plan add deserve second look,Negative
190,can not life figure woman vote romney something miss,Negative
191,wait mitt romney tax plan add tax hike middle class math,Negative
192,really criminal mean fact statehood support romney smh,Negative
193,stacyolson thanks romney vote,Positive
194,romney enjoy abortion profit tax return reveal investment stem cell research plan b chinese oil prolife,Negative
195,romney job number cobble together various report exist policy trend nothing w romney plan,Negative
196,mitt fine truth side,Positive
200,want play debate drinking game dont get drunk drink every time romney,Neutral
201,romney million job pledge base completely bogus math,Negative
204,romney type dick publish personal aged picture,Neutral
205,romney even name ramen noodle flavor know struggle fuc romney,Negative
206,much prefer bombastic furiously insult absurdly base paper like krugman little twerp want romney brain,Negative
207,romney central job argument expose fraudulent via p,Negative
208,romney grandpa pimp negative wife kid busy man,Negative
210,control every move romney draft bill allow religious group ban gay adopt child,Negative
211,romney win longer wear nice clothes drive nissan downgrade kia wear colombia wrangler jean idc idc,Negative
212,romney name walid phares radical islamophobe tie militia committed atrocity foreign policy team,Negative
213,mitt romney arrest use large block ice slide slop golf course go hell,Negative
215,mittromney relentless bald face liar sociopath thing without conscious devil,Negative
216,chuck ok keep count mitt lie take tweet negative,Negative
218,funny come trillion tax plan let mitt romney give runaround detail matter,Negative
219,mitt romney say catch bin laden would insignificant worth move heaven earth,Negative
220,doubt mitt really well tonight watch mittromney can not wait rommeyryan,Positive
221,fuck romney like really like bitch as know struggle,Negative
223,seriously arithmetic issue romney campaign epic analysis job number brutal,Negative
224,mitt romney fake bro romney million job fake,Negative
225,diane von furstenberg quite sure ann romney end wear one dress,Neutral
226,adwatch mitt romney wrong woman health radio attackad von ppvotes warnt frau vor romney uswahl,Negative
227,cat call sexist vote romney dick,Negative
228,vidjwhite romney suck tonight around people mitt astrophe,Negative
229,romney tax plan add deserve second look,Negative
230,mutt romney viagra early prostate exam untilled men come fair,Negative
233,cnn romney romney make million invest company business iran,Negative
234,romney record cut job cut pay amp cut pension worry america sensata,Negative
236,new york time mr romney need work calculator,Negative
237,lohan effect romney get boost low information voter via already,Negative
239,sorry mitt real world tax reform boost growth bruce bartlett writes today romney sty,Negative
240,romney ryan win move canada britain,Negative
241,worry romney plan fail merit arapgov,Negative
242,davidlimbaugh pray day even well show romney,Negative
243,exactly begin suspect mitt romney character imaginary tax health care plan,Negative
244,love mitt romney sponsor page facebook see like unfriended five people thanks mitt,Negative
245,mitt romney use immigration pinata twist xenophobic pretzel,Negative
246,mitt romney wrong woman health obama,Negative
248,townhallquestions mr president break many promise believe shall honor voting romney,Positive
249,mitt romney lie dad walkout via,Negative
252,romney plan one would newt let get job janitor asshatsabide,Negative
253,fact mitt romney arrest use large block ice slide slop golf course plain stupid,Negative
255,hmm every time try click get detail link romney tax plan run away try hide,Negative
257,mitt romney pay tax mitt romney pay tax,Negative
259,barackobama can not afford year romney romney back bush day,Negative
260,politics poll romney large lead rural swing county howard berkesnational public radiooctobe tcot,Positive
261,miss romney tax plan reality fortune blog fortune blog miss romney tax decision,Negative
265,romney plan raise middle class tax tcot,Positive
267,let get str everyone know mitt romney pathological liar potus show everyone already know,Negative
269,reason idiot vote romney show liberals already know idiot,Positive
